impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K18-106897,A479702,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A479702,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Midnight,Cat,2 YEARS 4 MONTHS,Spayed Female,Domestic Shorthair,Black,03/01/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A479702,Image Copyright HLP Inc. 2018,,"Received on: 2018-03-01<p></p> Description: Black<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 2 YEARS 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Midnight and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on February 12, 2018 because I was fearful of the young children in the household. My previous owner would describe me as shy but playful. <p></p><p></p>I'm a shy lady who really is interested in relaxing and living a nice quiet life. I like peaceful things like sitting in laps, looking out windows, bird watching and getting treats. I have lived with other cats and young children but would probably prefer living with older children.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K18-106680,A552031,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1832369,LOST,Cj,Dog,,Female,Labrador Retriever,Unknown,02/15/2018 12:00:00 AM,Date Lost,AVONDALE ROAD NE & NE 88TH PL,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1832369,Image Copyright HLP Inc. 2018,"AVONDALE ROAD NE &amp; NE 88TH PL
REDMOND, WA 98052
",
K17-105712,A549198,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A549198,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Baby,Dog,2 YEARS 2 MONTHS,Spayed Female,Pit Bull,Gray / White,12/24/2017 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A549198,Image Copyright HLP Inc. 2018,,"Received on: 2017-12-24<p></p> Description: Gray / White<p></p>  Spayed Female Pit Bull Dog<p></p> Age: 2 YEARS 2 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is baby and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on 12/24/17.<p></p><p></p>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I am an independent dog who likes to do my own thing!<p></p><p></p>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have observed that I might not get along with all other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p></p><p></p>I would do best in a home with older children.<p></p> Adoption Fee: $100.00<p></p>"
K18-106899,A552899,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Sheep,NO AGE,Unaltered,Sheep,White,03/01/2018 12:00:00 AM,Received on,16700 SE MAY VALLEY RD,RENTON,WA,98059,KING COUNTY,,,,Image Copyright HLP Inc. 2018,"16700 SE MAY VALLEY RD
RENTON, WA 98059
","Received on: 2018-03-01<p></p> Found Near: 16700 SE MAY VALLEY RD, RENTON WA 98059<p></p> Description: White Unaltered Sheep Sheep<p></p> Age: NO AGE<p></p>"
K18-106901,A552905,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552905,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Unaltered,Domestic Longhair,Gray / White,03/01/2018 12:00:00 AM,Received on,23600 108TH PL SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552905,Image Copyright HLP Inc. 2018,"23600 108TH PL SE
KENT, WA 98031
","Received on: 2018-03-01<p></p> Found Near: 23600 108TH PL SE, KENT WA 98031<p></p> Description: Gray / White Unaltered Domestic Longhair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106710,A552074,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Unaltered,Goose,Brown / Black,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Brown / Black Unaltered Goose Bird<p></p> Age: NO AGE<p></p>"
K18-106151,A550643,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822027,LOST,Uri,Dog,,Male,Chinese Crested Dog,Unknown,01/19/2018 12:00:00 AM,Date Lost,S 188TH STREET & INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822027,Image Copyright HLP Inc. 2018,"S 188TH STREET &amp; INTERNATIONAL BLVD
SEATAC, WA 98188
",
K18-106448,A551409,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A551409,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Forest,Cat,10 YEARS,Spayed Female,Domestic Shorthair,Black,02/06/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551409,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-06<p></p> Description: Black<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 10 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Forest and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on 2/15/18.<p></p><p></p>I am an independent kitty who likes to do my own thing!<p></p><p></p>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p></p> Adoption Fee: $30.00<p></p>"
K18-106675,A552025,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,White / Black,02/16/2018 12:00:00 AM,Received on,000 148TH AVE SE,BELLEVUE,WA,98007,BELLEVUE,47.594078,-122.142612,,Image Copyright HLP Inc. 2018,"000 148TH AVE SE
BELLEVUE, WA 98007
(47.594078, -122.142612)","Received on: 2018-02-16<p></p> Found Near: 000 148TH AVE SE, BELLEVUE WA 98007<p></p> Description: White / Black Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K18-106831,A552355,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Snugglebug,Dead Cat,NO AGE,Spayed Female,Domestic Shorthair,Black,02/24/2018 12:00:00 AM,Received on,17900 MILITARY RD S,SEATAC,WA,98188,SEATAC,,,,Image Copyright HLP Inc. 2018,"17900 MILITARY RD S
SEATAC, WA 98188
","Received on: 2018-02-24<p></p> Found Near: 17900 MILITARY RD S, SEATAC WA 98188<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K18-106898,A552898,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Sheep,NO AGE,Unaltered,Sheep,White,03/01/2018 12:00:00 AM,Received on,16700 SE MAY VALLEY RD,RENTON,WA,98059,KING COUNTY,,,,Image Copyright HLP Inc. 2018,"16700 SE MAY VALLEY RD
RENTON, WA 98059
","Received on: 2018-03-01<p></p> Found Near: 16700 SE MAY VALLEY RD, RENTON WA 98059<p></p> Description: White Unaltered Sheep Sheep<p></p> Age: NO AGE<p></p>"
K18-106371,A551220,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lucy,Cat,15 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Org Tabby / White,02/01/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551220,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2018-02-01<p></p> Description: Org Tabby / White Spayed Female Domestic Shorthair Cat<p></p> Age: 15 YEARS 1 MONTH<p></p> Current Location: In RASKC Foster Home <p></p>Hi! My name is Lucy and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on  February 1, 2018 because my owners could no longer care for me due to their medical issues. My owners would describe me as calm and snuggly. <p></p><p></p>I'm a sweet, mature lady who loves to be around people. I love having company over and drinking a cup of tea and eating delicious treats, my FAVORITE! If you are looking for a new pal that you can always rely on, I'm your gal! Due to my size, i'm not the biggest fan of being picked up or lifted out of things, but I would love to crawl onto your lap for pets. <p></p><p></p>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p><p></p>Adoption Fee: $30.00<p></p>"
K18-106783,A552251,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552251,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Claire,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby / White,02/21/2018 12:00:00 AM,Received on,17600 NE 70TH ST,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552251,Image Copyright HLP Inc. 2018,"17600 NE 70TH ST
REDMOND, WA 98052
","Received on: 2018-02-21<p></p> Found Near: 17600 NE 70TH ST, REDMOND WA 98052<p></p> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p></p>"
K18-106387,A306070,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A306070,Cat & Kaboodle,Pepper,Cat,17 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Tortie,02/02/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A306070,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-02<p></p> Description: Tortie<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 17 YEARS 2 MONTHS<p></p> Current Location: Cat &amp; Kaboodle<p></p>Hi! My name is Pepper and I am available for adoption. I was brought in by my previous owner on December 24, 2017 because I like getting attention on my own terms.<p></p><p></p>As one who is &quot;advanced in years&quot; I believe I have earned the right to be pet when I want and where I want. If you are petting me wrong or too much, I am not afraid to tell you to slow down, ya young whipper-snapper!<p></p><p></p>If you haven't already guessed, I have a bit of an attitude and I am completely fine with that. You don't get to be this spry at the age of 17 by being passive and boring!<p></p><p></p>I do enjoy being pet but there are some part of my body that are more sensitive with age - like my back and hind end - that I do not enjoy being touched. I would appreciate your respect and understanding and only pet me where I like to be pet. I will do best in an adult only home that is very cat savvy.<p></p><p></p>Don't be fooled by my double-digit age, I am still active and will fill your home with lots of conversation - I enjoy the sound of my own voice - and sassiness!<p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p></p><p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)     This animal has moderate dental tartar and gingivitis.  This may require a dental cleaning under anesthesia and potentially need x-rays or tooth extractions.  Please follow up with your regular veterinarian to form the best treatment plan.<p></p><p></p>2)    Geriatric animal- Pepper has mildly increased kidney values and early renal insufficiency is suspected.  Please consult with you regular veterinarian for recommendations for ongoing care.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p><p></p> Adoption Fee: $30.00<p></p>"
K18-106865,A552691,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552691,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Figaro,Cat,9 YEARS,Neutered Male,Domestic Longhair,Black / White,02/27/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552691,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-27<p></p> Description: Black / White<p></p>  Neutered Male Domestic Longhair Cat<p></p> Age: 9 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Figaro and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on February 27th, 2018 because I was not getting along with the resident cat. My previous owner would describe me as shy and timid. <p></p><p></p>I'm a shy guy at first but once you get to know me I can be very sweet! I love pets behind my head and on my chin, oh, my favorite! I might need some time getting to know my new family before I feel 100% comfortable. <p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p>This cat has tested positive for Feline Immunodeficiency Virus (FIV). Cats with FIV can still live fulfilling lives, but extra care may be required. This cat should live indoors only.<p></p> <p></p>Please visit this page for more information: http://www.vet.cornell.edu/fhc/Health_Information/brochure_fiv.cfm<p></p> Adoption Fee: $30.00<p></p>"
K17-105279,A544457,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A544457,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mark,Dog,5 YEARS 3 MONTHS,Neutered Male,Akita / Mix,Br Brindle / Black,12/02/2017 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544457,Image Copyright HLP Inc. 2018,,"Received on: 2017-12-02<p></p> Description: Br Brindle / Black<p></p>  Neutered Male Akita / Mix Dog<p></p> Age: 5 YEARS 3 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Mark and I am available for adoption.<p></p><p></p>I was originally brought in by an Animal Control Officer on October 30, 2017. I have been adopted twice, but unfortunately I was not the right fit for either family.<p></p><p></p>My volunteers have told staff that I am very energetic and love to run! I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>I would do best as the only pet in an adult only home. I can be a bit stubborn sometimes and need a confident and patient owner that will work with me, not against me. <p></p><p></p>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p></p><p></p> Adoption Fee: $200.00<p></p>"
K18-106778,A552239,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552239,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Katrina,Cat,3 YEARS,Spayed Female,Domestic Mediumhair,Dilute Tor / White,02/21/2018 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552239,Image Copyright HLP Inc. 2018,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2018-02-21<p></p> Description: Dilute Tor / White<p></p>  Spayed Female Domestic Mediumhair Cat<p></p> Age: 3 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi! My name is Katrina and I am available for adoption. I was brought in by an Animal Control Officer on February 21, 2018.<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I am a very pretty kitty who loves to be adored and told how beautiful I am! I am very calm and my caregivers love spending time with me. <p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling and do not like being picked up, so I would do best in a home with a cat savvy family who knows when to give me some space.  I would do best in a home with no young children.<p></p><p></p>My caregivers have noticed I seem to do okay with other cats, but I do not like dogs.<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K18-106607,A551856,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A551856,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Big Bub,Cat,5 YEARS,Neutered Male,Domestic Shorthair,Black,02/13/2018 12:00:00 AM,Received on,22000 SE 267TH ST,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551856,Image Copyright HLP Inc. 2018,"22000 SE 267TH ST
MAPLE VALLEY, WA 98038
","Received on: 2018-02-13<p></p> Found Near: 22000 SE 267TH ST, MAPLE VALLEY WA 98038<p></p> Description: Black Neutered Male Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106585,A551788,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1830817,LOST,Benjamin,Dog,,Male,Chihuahua - Smooth Coated,Unknown,02/12/2018 12:00:00 AM,Date Lost,148TH COURT NE & REDMOND WAY,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1830817,Image Copyright HLP Inc. 2018,"148TH COURT NE &amp; REDMOND WAY
REDMOND, WA 98052
",
K18-106416,A551289,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Unaltered,German Shepherd / Mix,Black / Brown,02/04/2018 12:00:00 AM,Received on,15200 SE 272ND ST,KENT,WA,98042,KENT,,,,Image Copyright HLP Inc. 2018,"15200 SE 272ND ST
KENT, WA 98042
","Received on: 2018-02-04<p></p> Found Near: 15200 SE 272ND ST, KENT WA 98042<p></p> Description: Black / Brown Unaltered German Shepherd / Mix Dog<p></p> Age: NO AGE<p></p>"
K17-105322,A547913,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A547913,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flower,Dog,4 YEARS 1 MONTH,Spayed Female,Pit Bull,Black,12/04/2017 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547913,Image Copyright HLP Inc. 2018,,"Received on: 2017-12-04<p></p> Description: Black<p></p>  Spayed Female Pit Bull Dog<p></p> Age: 4 YEARS 1 MONTH<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Flower and I am available for adoption.<p></p><p></p>I was brought in by a good samaritan on December 4, 2018.<p></p><p></p>My caregivers have noticed that it does take me some time to adjust to new people and new places. Even though I am a large breed dog, the world can still be a big and overwhelming place! I am looking for an owner that has had experience with dogs that have been undersocialized and may display some fear aggression behaviors when overwhelmed.<p></p><p></p>I am a dog with a huge personality and I have a lot of favorite activities. One of my favorite things to do is go on walks and explore! I also love to play fetch and will bark at you to throw my toy, though I am not always as excited about bringing it back so playing with two toys at once is the best option for me!<p></p><p></p>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have noticed that I seem to be interested in other dogs but may be too intrusive and pushy for some. I would do best meeting any new friends before going home. When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>Because of my undersocialization and fear aggression, I would do best in an experienced dog home with adults only.<p></p><p></p>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p></p> Adoption Fee: $100.00<p></p>"
K18-106252,A550910,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kylo Ren,Cat,12 WEEKS,Neutered Male,Domestic Shorthair,Black,01/24/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A550910,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2018-01-24<p></p> Description: Black Neutered Male Domestic Shorthair Cat<p></p> Age: 12 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>Kylo Ren, a lovely rescue kitten in need of a patient human. He has come a long way gaining weight and being comfortable in a household space. He needs to be an only cat or adopted with his sister Rey. It would be nice if his human could stay at home to play with him. Kylo is fine with our small dog and is ok with noises like the vacuum but might freak out as any kitten would with sudden movement. He likes to play with a specific toy or bat around a ball. He does hold back a bit when it comes to toys but really gets moving when he is wrestling a sibling. He is a very fortunate kitten to have been rescued now he needs you to give him a forever home.<p></p>To meet him call his foster human Tracy at (206) 242-7659 for an appointment time. <p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K18-106198,A550698,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822910,LOST,Mx,Dog,,Male,Pomeranian,Unknown,01/21/2018 12:00:00 AM,Date Lost,S 320TH STREET & 1ST AVENUE S,FEDERAL WAY,WA,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822910,Image Copyright HLP Inc. 2018,"S 320TH STREET &amp; 1ST AVENUE S
FEDERAL WAY, WA 98003
",
K18-106251,A550909,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Finn,Cat,12 WEEKS,Neutered Male,Domestic Shorthair,Black,01/24/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A550909,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2018-01-24<p></p> Description: Black Neutered Male Domestic Shorthair Cat<p></p> Age: 12 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>Finn is a fireball, entertaining, and sweet all at once. He loves a good play and lap to nap on all day long. Really anything your up for he'll oblige. A fun cat with dog DNA. Could be ok as a only cat if you play with him or adopt one of his other siblings as well to tire him out like his brother Kylo. He is smaller then the other two but takes on the challenge of play seriously. Be careful when walking he will follow your feet it is best you pick him up so you don't step on him. He will chase your broom when sweeping or anything that interests him as prey.  He is a great kitten.<p></p>To meet him call his foster human Tracy at (206) 242-7659 for an appointment time.<p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-099914,A530641,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Tilly,Cat,2 YEARS 8 MONTHS,Spayed Female,Domestic Longhair,Dilute Tor,06/23/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A530641,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2017-06-23<p></p> Description: Dilute Tor Spayed Female Domestic Longhair Cat<p></p> Age: 2 YEARS 8 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>I'm a unique little cat. I talk big game but I'm a sweet heart. I have some<p></p>feist to me, but once I get attached I'll follow you around everywhere,<p></p>show you love, curl up on you, and &quot;meep&quot; at you. I love joining you on the<p></p>couch, but I'll wait for an invitation first as I stare at you with wishful<p></p>eyes. I love being pet, and will greet you at the door every time you come<p></p>home. I like to play too. My temperament has improved so much, and my<p></p>pheromone collar makes me even more peaceable (but it's optional).<p></p><p></p>I'm picky about who I like, so it may take me a while for to trust someone.<p></p>It's a hit or miss on how I do with visitors (but still bring them), so<p></p>it's unlikely that I'll do well with kids. In general, I'd fit better in an<p></p>adults home where the owners know when to give me space. However, I don't<p></p>hold grudges, and I'll come back a few moments later sweet again. Even<p></p>though I love the sound of kittens on the computer, I'll hiss if you bring<p></p>actual pets into the house.<p></p><p></p>Dietary needs: Since I love food, I eat too quickly and need a special<p></p>&quot;maze&quot; bowl for dry food, otherwise I'll barf. Also, I need to be fed wet<p></p>food more often because I get chubby with dry food.<p></p><p></p>Due to my unique nature, I need a special, patient, and loving home who<p></p>will understand me and make me feel safe and loved. Because I was on the<p></p>street at some point, I feel threatened more easily (hence hiss), but I<p></p>think my &quot;cat therapy&quot; is slowly healing me :) Due to my history, the top<p></p>of one ear is also cut off to mark me as spayed.<p></p><p></p>Please note that I tested positive for FeLV with the ELISA test, which<p></p>means I may or may not develop the actual disease. The IFA is the only<p></p>confirmatory test. I'm so glad FeLV saved me from being a barn cat and gave<p></p>me the chance at having a loving home!<p></p><p></p>All I want is a good, loving home!<p></p>Adoption Fee: $30.00<p></p>"
K18-106703,A552066,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Male,Duck,Green / Brown,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Green / Brown Male Duck Bird<p></p> Age: NO AGE<p></p>"
